theme,event_count,event_percentage
ai_technology,1916,46.41472868217054
us_elections,1464,35.46511627906977
uncategorized,164,3.9728682170542635
sports_entertainment,157,3.8032945736434107
fed_monetary_policy,104,2.5193798449612403
middle_east,100,2.422480620155039
russia_ukraine,86,2.083333333333333
crypto_digital,53,1.2839147286821706
china_us,29,0.7025193798449613
legal_regulatory,12,0.29069767441860467
europe_politics,9,0.2180232558139535
space_frontier,9,0.2180232558139535
us_economic,8,0.1937984496124031
energy_commodities,6,0.14534883720930233
climate_environment,6,0.14534883720930233
pandemic_health,5,0.12112403100775193
