,total_return,annualized_volatility,sharpe_ratio,max_drawdown,num_positions
ai_technology_volume_weighted,0.34984753119232015,0.3097623817651324,1.3378229625998936,-0.09113796227387039,11
ai_technology_equal,0.3627313426579075,0.33652994937143,1.2961161100329721,-0.11233422392542558,11
ai_technology_max_diversification,0.3627313426579075,0.33652994937143,1.2961161100329721,-0.11233422392542558,11
ai_technology_risk_parity,0.04132628143456163,0.04896842501035513,0.16105325987917898,-0.020000000000000018,11
ai_technology_min_variance,0.04132628143456163,0.04896842501035513,0.16105325987917898,-0.020000000000000018,11
fed_monetary_policy_equal,-0.041101079387774075,0.15870132614345955,-0.6068317281290111,-0.08819999999999995,7
fed_monetary_policy_max_diversification,-0.041101079387774075,0.15870132614345955,-0.6068317281290111,-0.08819999999999995,7
middle_east_volume_weighted,-0.201449713502577,0.427979169096021,-0.6415387071080628,-0.396889786067792,7
middle_east_min_variance,-0.21359378546215269,0.3677013853229865,-0.8693493080381217,-0.3829470600681194,7
middle_east_risk_parity,-0.21359378546215269,0.3677013853229865,-0.8693493080381217,-0.3829470600681194,7
middle_east_max_diversification,-0.23034859577558664,0.3914960447879355,-0.8702514483500045,-0.39900287764974496,7
middle_east_equal,-0.23034859577558664,0.3914960447879355,-0.8702514483500045,-0.39900287764974496,7
fed_monetary_policy_volume_weighted,-0.07319575765098585,0.13568050449569352,-1.0846686637997087,-0.08820000000000006,7
fed_monetary_policy_risk_parity,-0.07281733471429486,0.1343562393776419,-1.0924255912970144,-0.09281728044184534,7
fed_monetary_policy_min_variance,-0.07281733471429486,0.1343562393776419,-1.0924255912970144,-0.09281728044184534,7
us_elections_volume_weighted,-0.022900063127540782,0.03265620642270534,-2.5078348802893777,-0.026437192985896196,153
us_elections_equal,-0.010446750377640757,0.022362533041731414,-2.8821736472579844,-0.013651474981114853,153
us_elections_max_diversification,-0.010446750377640757,0.022362533041731414,-2.8821736472579844,-0.013651474981114853,153
crypto_digital_equal,-0.00505000000000011,0.013258285066516964,-4.299198555019034,-0.010000000000000009,5
crypto_digital_max_diversification,-0.00505000000000011,0.013258285066516964,-4.299198555019034,-0.010000000000000009,5
crypto_digital_volume_weighted,-0.006749715149496627,0.01247413127560878,-4.762146258737976,-0.010000000000000009,5
crypto_digital_risk_parity,-0.009999990100009959,0.01183215963230654,-5.408986016827264,-0.010000000000000009,5
crypto_digital_min_variance,-0.009999990100009959,0.01183215963230654,-5.408986016827264,-0.010000000000000009,5
us_elections_min_variance,0.0011146509156239048,0.0015184268492615706,-31.90091549717906,-0.0008141008621787016,153
us_elections_risk_parity,0.0011146509156239048,0.0015184268492615706,-31.90091549717906,-0.0008141008621787016,153
