market_id,cluster
kalshi_KXPRESNOMD-28-BOBA,10
kalshi_KXPRESNOMD-28-CBOO,10
kalshi_KXPRESNOMD-28-GR,10
kalshi_KXPRESNOMD-28-HCLI,10
kalshi_KXPRESNOMD-28-MC,10
kalshi_KXPRESNOMD-28-RGAL,12
kalshi_KXPRESNOMD-28-RW,12
kalshi_KXPRESNOMD-28-TW,10
kalshi_KXPRESNOMD-28-ZMAM,12
kalshi_KXPRESNOMR-28-MTG,10
kalshi_KXPRESNOMR-28-TC,18
kalshi_RECSSNBER-25,7
poly_epstein-blackmail-files-released-in-2025,15
poly_fed-decreases-interest-rates-by-25-bps-after-december-2025-meeting,13
poly_fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,7
poly_fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting,9
poly_fed-decreases-interest-rates-by-50-bps-after-december-2025-meeting,12
poly_fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,18
poly_fed-decreases-interest-rates-by-50-bps-after-october-2025-meeting,5
poly_fed-increases-interest-rates-by-25-bps-after-december-2025-meeting,13
poly_fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,9
poly_fed-increases-interest-rates-by-25-bps-after-october-2025-meeting,3
poly_israel-strikes-iran-by-january-31-2026-894-994-453,16
poly_israel-x-hamas-ceasefire-by-october-31,7
poly_israel-x-hamas-ceasefire-by-september-30,9
poly_khamenei-out-as-supreme-leader-of-iran-by-february-28,16
poly_khamenei-out-as-supreme-leader-of-iran-by-june-30-747,16
poly_khamenei-out-as-supreme-leader-of-iran-by-march-31,16
poly_khamenei-out-as-supreme-leader-of-iran-in-2025,10
poly_lighter-market-cap-fdv-1b-one-day-after-launch,19
poly_lighter-market-cap-fdv-2b-one-day-after-launch-332,19
poly_lighter-market-cap-fdv-3b-one-day-after-launch-227,19
poly_lighter-market-cap-fdv-4b-one-day-after-launch-886-225,19
poly_lisa-cook-out-as-fed-governor-by-september-30,9
poly_maduro-out-in-2025-411,5
poly_megaeth-market-cap-fdv-2b-one-day-after-launch-738-867-649-272,15
poly_microstrategy-sell-any-bitcoin-in-2025,1
poly_monad-market-cap-fdv-2b-one-day-after-launch,18
poly_monad-market-cap-fdv-4b-one-day-after-launch-532,18
poly_no-change-in-fed-interest-rates-after-december-2025-meeting,13
poly_no-change-in-fed-interest-rates-after-january-2026-meeting,2
poly_no-change-in-fed-interest-rates-after-october-2025-meeting,9
poly_openai-browser-by-october-31,7
poly_russia-x-ukraine-ceasefire-before-2027,12
poly_russia-x-ukraine-ceasefire-before-october,8
poly_russia-x-ukraine-ceasefire-by-january-31-2026,12
poly_russia-x-ukraine-ceasefire-by-march-31-2026,12
poly_russia-x-ukraine-ceasefire-in-2025,8
poly_tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,9
poly_tiktok-sale-announced-in-2025-386-821-248,20
poly_us-anti-cartel-operation-on-foreign-soil-by-december-31,5
poly_us-national-bitcoin-reserve-in-2025,20
poly_us-recession-in-2025,20
poly_us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,16
poly_us-strikes-iran-by-june-30-2026-699-664-723-485-753-218-567-164-387-443-377-384-159-973-494-631-694-956-361-443-224-518-537-678-486-386-275-153-976-862-149-897-221-522-378-575-993-365-444-965-488-963-698-313-696-829-887-721-211-322-726-411-231-474,16
poly_us-strikes-iran-by-march-31-2026-393-221-132-633-215-592-866-184-321-377-931-222-297-655-719-935-944-321-534-925-937-744-476-586-454-914-676-972-362-876-771-213-554-443-439-287-519-563-393-256-817-961-941-762-654-519-837-721-654-479-949-423-962-271-545,16
poly_us-x-venezuela-military-engagement-by-december-31-391-819-722-945-174-285-817-971-353-859-836-598-255-382-192-983,1
poly_us-x-venezuela-military-engagement-by-november-30-216-397-226-467-735-374-192-441-421-482-389,5
poly_us-x-venezuela-military-engagement-by-october-31-434-155-561,5
poly_will-7-fed-rate-cuts-happen-in-2025,18
poly_will-adrienne-adams-win-the-2025-nyc-mayoral-election,10
poly_will-ahmed-aboutaleb-become-the-next-prime-minister-of-the-netherlands,8
poly_will-alberto-undurraga-win-the-chilean-presidential-election,3
poly_will-amazon-be-the-largest-company-in-the-world-by-market-cap-on-december-31,7
poly_will-andr-ventura-win-the-2026-portugal-presidential-election,12
poly_will-andrew-cuomo-win-the-2025-nyc-mayoral-election,4
poly_will-andrew-yang-win-the-2025-nyc-mayoral-election,10
poly_will-andrew-yang-win-the-2028-democratic-presidential-nomination,6
poly_will-andrnico-rodrguez-win-the-2025-bolivia-presidential-election,5
poly_will-anthony-albanese-be-the-first-leader-out-in-2025,7
poly_will-antnio-filipe-win-the-2026-portugal-presidential-election,9
poly_will-antnio-jos-seguro-win-the-2026-portugal-presidential-election,8
poly_will-aristides-teixeira-win-the-2026-portugal-presidential-election,4
poly_will-artificial-intelligence-be-times-person-of-the-year-for-2025,14
poly_will-barack-obama-win-the-2028-democratic-presidential-nomination-265,20
poly_will-bernie-sanders-win-the-2028-democratic-presidential-nomination-879,9
poly_will-beto-orourke-win-the-2028-democratic-presidential-nomination,9
poly_will-bitcoin-dip-to-70000-by-december-31-2025-193-726-878-775-359-968-264-727-793-714-257-318-569-865-147,20
poly_will-bitcoin-dip-to-75k-in-january-2026,1
poly_will-bitcoin-dip-to-80000-by-december-31-2025-118-573-457-488-883-987-884-891-557,20
poly_will-bitcoin-dip-to-80k-in-january-2026,1
poly_will-bitcoin-reach-100000-by-december-31-2025-213-146-883-729-282,20
poly_will-bitcoin-reach-1000000-by-december-31-2025,9
poly_will-bitcoin-reach-100k-in-january-2026,1
poly_will-bitcoin-reach-105k-in-january-2026,1
poly_will-bitcoin-reach-110000-by-december-31-2025-793,20
poly_will-bitcoin-reach-110k-in-january-2026,9
poly_will-bitcoin-reach-115k-in-november-2025,4
poly_will-bitcoin-reach-120000-by-december-31-2025-472-972,11
poly_will-bitcoin-reach-130000-by-december-31-2025-911-832,17
poly_will-bitcoin-reach-130k-in-october,17
poly_will-bitcoin-reach-140000-by-december-31-2025-258-893,17
poly_will-bitcoin-reach-150000-by-december-31-2025-188,17
poly_will-bitcoin-reach-150k-in-january-2026,12
poly_will-bitcoin-reach-150k-in-october,17
poly_will-bitcoin-reach-170000-by-december-31-2025-215,10
poly_will-bitcoin-reach-200000-by-december-31-2025,13
poly_will-bitcoin-reach-200k-in-november-2025,3
poly_will-bitcoin-reach-200k-in-october,5
poly_will-bitcoin-reach-250000-by-december-31-2025,13
poly_will-bitcoin-reach-95000-by-december-31-2025-818-596-821-318-841,13
poly_will-brad-lander-win-the-2025-nyc-mayoral-election,9
poly_will-brian-kemp-win-the-2028-republican-presidential-nomination,10
poly_will-byron-donalds-win-the-2028-republican-presidential-nomination,10
poly_will-chelsea-clinton-win-the-2028-democratic-presidential-nomination,5
poly_will-china-invade-taiwan-before-2027,10
poly_will-china-invade-taiwan-in-2025,16
poly_will-chris-murphy-win-the-2028-democratic-presidential-nomination,14
poly_will-ciprian-ciucu-be-the-next-mayor-of-bucharest,13
poly_will-clin-georgescu-be-the-next-mayor-of-bucharest,18
poly_will-corey-booker-win-the-2028-democratic-presidential-nomination-125,13
poly_will-crin-antonescu-be-the-next-mayor-of-bucharest-277,20
poly_will-curtis-sliwa-drop-out-458,4
poly_will-curtis-sliwa-win-the-2025-nyc-mayoral-election,4
poly_will-democrats-66-win-the-most-seats-in-the-2025-netherlands-parliamentary-election,3
poly_will-donald-trump-jr-win-the-2028-us-presidential-election,10
poly_will-donald-trump-win-nobel-peace-prize-in-2025-635,9
poly_will-donald-trump-win-the-nobel-peace-prize-in-2025,9
poly_will-dwayne-the-rock-johnson-win-the-2028-democratic-presidential-nomination,12
poly_will-edgex-launch-a-token-in-2025,6
poly_will-elise-stefanik-win-the-2028-republican-presidential-nomination,5
poly_will-elon-musk-be-named-in-newly-released-epstein-files,16
poly_will-elon-musk-win-the-2028-republican-presidential-nomination,8
poly_will-elon-musk-win-the-2028-us-presidential-election,9
poly_will-emily-oreilly-win-the-irish-presidential-election,5
poly_will-eric-adams-win-the-2025-nyc-mayoral-election,5
poly_will-erika-kirk-win-the-2028-republican-presidential-nomination,9
poly_will-ethereum-hit-10000-by-december-31-218-525,5
poly_will-ethereum-hit-14000-by-december-31-239-295,5
poly_will-ethereum-hit-17000-by-december-31,5
poly_will-ethereum-hit-5000-by-december-31-796-376,17
poly_will-ethereum-hit-6000-by-december-31-843-315,17
poly_will-ethereum-hit-7000-by-december-31-733-852,15
poly_will-ethereum-hit-8000-by-december-31-124-489,9
poly_will-ethereum-reach-6000-in-january-2026,12
poly_will-frances-fitzgerald-win-the-irish-presidential-election,9
poly_will-frank-donovan-be-the-leader-of-venezuela-end-of-2026,2
poly_will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568,9
poly_will-george-clooney-win-the-2028-democratic-presidential-nomination,10
poly_will-george-tuta-be-the-next-mayor-of-bucharest,18
poly_will-gina-raimondo-win-the-2028-democratic-presidential-nomination-676,12
poly_will-glenn-youngkin-win-the-2028-us-presidential-election,9
poly_will-greg-abbott-win-the-2028-republican-presidential-nomination,18
poly_will-greg-abbott-win-the-2028-us-presidential-election,18
poly_will-gretchen-whitmer-win-the-2028-democratic-presidential-nomination-676,12
poly_will-gretchen-whitmer-win-the-2028-us-presidential-election,5
poly_will-hillary-clinton-win-the-2028-democratic-presidential-nomination,5
poly_will-jack-ciattarelli-win-the-new-jersey-governor-election-in-2025,4
poly_will-jamie-dimon-win-the-2028-us-presidential-election,13
poly_will-jared-polis-win-the-2028-democratic-presidential-nomination-837,12
poly_will-jasmine-crockett-win-the-2028-democratic-presidential-nomination,14
poly_will-jb-pritzker-win-the-2028-democratic-presidential-nomination-288,12
poly_will-jd-vance-win-the-2028-us-presidential-election,10
poly_will-jeannette-jara-win-the-chilean-presidential-election,14
poly_will-jim-walden-win-the-2025-nyc-mayoral-election,9
poly_will-joana-amaral-dias-win-the-2026-portugal-presidential-election,20
poly_will-john-fetterman-win-the-2028-democratic-presidential-nomination-941,12
poly_will-john-thune-win-the-2028-republican-presidential-nomination,12
poly_will-jon-stewart-win-the-2028-democratic-presidential-nomination-518,12
poly_will-jorge-pinto-win-the-2026-portugal-presidential-election,18
poly_will-jorge-tuto-quiroga-win-the-2025-bolivia-presidential-election,6
poly_will-jos-antonio-kast-win-the-chilean-presidential-election,14
poly_will-jos-cardoso-win-the-2026-portugal-presidential-election,4
poly_will-josh-hawley-win-the-2028-republican-presidential-nomination,10
poly_will-kamala-harris-win-the-2028-democratic-presidential-nomination-641,15
poly_will-katie-britt-win-the-2028-republican-presidential-nomination,10
poly_will-kim-jong-un-be-the-first-leader-out-in-2025,7
poly_will-kim-kardashian-win-the-2028-democratic-presidential-nomination,5
poly_will-kim-kardashian-win-the-2028-republican-presidential-nomination,9
poly_will-kim-kardashian-win-the-2028-us-presidential-election,9
poly_will-kristi-noem-win-the-2028-republican-presidential-nomination,10
poly_will-lebron-james-win-the-2028-democratic-presidential-nomination,5
poly_will-lebron-james-win-the-2028-us-presidential-election,10
poly_will-lighter-perform-an-airdrop-by-december-31,19
poly_will-liz-cheney-win-the-2028-democratic-presidential-nomination-551,5
poly_will-luiz-incio-lula-da-silva-be-the-first-leader-out-in-2025,5
poly_will-mamdani-get-over-50-of-the-vote-in-the-general-mayoral-election,10
poly_will-marco-enrquez-ominami-win-the-chilean-presidential-election,20
poly_will-marian-vanghelie-be-the-next-mayor-of-bucharest,5
poly_will-mark-cuban-win-the-2028-democratic-presidential-nomination-329,5
poly_will-mark-kelly-win-the-2028-democratic-presidential-nomination-479,12
poly_will-matt-gaetz-win-the-2028-republican-presidential-nomination,5
poly_will-meituan-have-the-best-ai-model-at-the-end-of-january-2026,15
poly_will-metamask-launch-a-token-in-2025,9
poly_will-michael-bloomberg-win-the-2025-nyc-mayoral-election,10
poly_will-michelle-bachelet-win-the-chilean-presidential-election,17
poly_will-michelle-obama-win-the-2028-democratic-presidential-nomination-777,12
poly_will-michelle-obama-win-the-2028-us-presidential-election,11
poly_will-microsoft-have-the-top-ai-model-on-december-31,3
poly_will-mike-pence-win-the-2028-republican-presidential-nomination,9
poly_will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025,4
poly_will-mistral-have-the-best-ai-model-at-the-end-of-january-2026,13
poly_will-monad-perform-an-airdrop-by-october-31,9
poly_will-mrbeast-win-the-2028-democratic-presidential-nomination,10
poly_will-nasry-juan-asfura-zablah-win-the-2025-honduras-presidential-election,16
poly_will-ngela-maryah-win-the-2026-portugal-presidential-election,9
poly_will-nikki-haley-win-the-2028-us-presidential-election,9
poly_will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-december-31-2025,8
poly_will-octavian-berceanu-be-the-next-mayor-of-bucharest,18
poly_will-oprah-winfrey-win-the-2028-democratic-presidential-nomination,10
poly_will-pedro-tinoco-de-faria-win-the-2026-portugal-presidential-election,18
poly_will-peoples-party-pple-win-the-most-seats-in-the-2026-thai-legislative-election,15
poly_will-person-a-win-the-2028-democratic-presidential-nomination,3
poly_will-pete-hegseth-be-the-leader-of-venezuela-end-of-2026,2
poly_will-peter-casey-win-the-irish-presidential-election,8
poly_will-phil-murphy-win-the-2028-democratic-presidential-nomination-611,10
poly_will-polymarket-us-go-live-in-2025,13
poly_will-rahm-emanuel-win-the-2028-democratic-presidential-nomination-299,7
poly_will-rand-paul-win-the-2028-republican-presidential-nomination,8
poly_will-raphael-warnock-win-the-2028-democratic-presidential-nomination-914,9
poly_will-raul-perestrello-win-the-2026-portugal-presidential-election,9
poly_will-richard-grenell-be-the-leader-of-venezuela-end-of-2026,2
poly_will-robert-f-kennedy-jr-win-the-2028-republican-presidential-nomination,13
poly_will-rodrigo-paz-win-the-2025-bolivia-presidential-election,6
poly_will-roy-cooper-win-the-2028-democratic-presidential-nomination-286,12
