resolution,modularity,intra_coherence,inter_separation,explainability_score,n_communities,min_community_size,max_community_size,median_community_size,optimal
0.5,0.3931379540900345,0.14007011043434783,0.03946509900988382,0.10060501142446401,20,1,864,12.5,False
0.75,0.38796677336530827,0.14697071288180885,0.043046654355767495,0.10392405852604136,19,1,859,53.0,False
1.0,0.4105121988599075,0.1421564895417499,0.04007137923655505,0.10208511030519485,10,1,867,205.5,False
1.25,0.3997144240073009,0.14823122018829674,0.04267706487160943,0.1055541553166873,13,1,852,174.0,False
1.5,0.3785287613754421,0.1605821008200974,0.044428400903937446,0.11615369991615997,18,1,708,125.0,False
1.75,0.3589757969976339,0.17843976461231847,0.04592595349145674,0.13251381112086175,21,1,437,107.0,False
2.0,0.3536416970512923,0.18479459648197563,0.0464707753263721,0.13832382115560354,25,1,478,68.0,False
2.25,0.33395448423158014,0.20577772480461556,0.047246625488130516,0.15853109931648504,31,1,337,71.0,False
2.5,0.32662631424934374,0.20925203996627967,0.04755065248096152,0.16170138748531815,34,1,339,54.0,False
2.75,0.3148879724126442,0.21940488310650363,0.048024277629989384,0.17138060547651424,37,1,360,60.0,False
3.0,0.3118249509965111,0.21932084561461182,0.04814281573432402,0.1711780298802878,40,1,366,49.5,False
3.25,0.3072701833495201,0.2222232639536175,0.04826266635746843,0.17396059759614907,46,1,363,38.0,False
3.5,0.292118762747147,0.24500379841225048,0.04864325250849568,0.1963605459037548,52,1,261,40.0,False
3.75,0.2856056791293765,0.25149921059917313,0.04882751598573601,0.20267169461343712,61,1,247,35.0,False
4.0,0.28164436531909043,0.2588418765982196,0.04898446980955282,0.2098574067886668,64,1,239,33.0,False
4.25,0.27359058818726445,0.27800990785929736,0.04921255242714512,0.22879735543215224,70,1,165,31.5,False
4.5,0.2705235517468382,0.28203566163747035,0.04929891608536935,0.232736745552101,69,1,182,31.0,False
4.75,0.26468208195706355,0.29677924009255857,0.049458693678694904,0.24732054641386367,75,1,145,30.0,False
5.0,0.26150759630666665,0.2996045641023287,0.04954214458441484,0.25006241951791386,83,1,138,24.0,True
